name,url,price,rating
Handbag For Women | Ladies Purse Handbag | Woman Gifts | Women Shoulder Bags | Side Handbags | Wedding Gifts For Woman | Women Designer Bags | Travel Purse Handbag |M_D4,https://www.amazon.in/Handbag-Shoulder-Handbags-Designer-M_D4_Beige/dp/B0BRR9ZP5H/ref=sr_1_138?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-138,399,New to Amazon
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTM5NTE3MzIxMzI2NDM5OjE2Nzk0MTQ1NzU6c3BfbXRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_139_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414575%26sr%3D8-139-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"1,800",4.9
EUME Virgo 29L Laptop Backpack for Office & Travel | Water Resistance | Fit Up to 15.6-inch Laptop,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTM5NTE3MzIxMzI2NDM5OjE2Nzk0MTQ1NzU6c3BfbXRmOjIwMTE0NDE0MjI5Njk4OjowOjo&url=%2FEUME-Virgo-29Ltr-Laptop-Backpack%2Fdp%2FB08R563J3T%2Fref%3Dsr_1_140_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414575%26sr%3D8-140-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"1,549",4.1
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_141?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-141,900,3.9
"Aepigo Men's and Women's Sling Messenger Bag Leather Men Bag Casual Business Messenger Bag for Cross body Bag Male Shoulder Bags Leather Sling Messenger Bag (Brown, L- 10.05inch H- 11.5inch W- 3inch)",https://www.amazon.in/Aepigo-Genuine-Leather-Messenger-10-5inch/dp/B0953Q6QVN/ref=sr_1_142?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-142,917,3.9
"Arctic Hunter Mens Sling Bag Small Chest Bag Shoulder Bag Mobile Bag Side Bag for Men with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product,Black",https://www.amazon.in/Resistant-Outdoor-Shoulder-Unbalance-Earphone/dp/B07TT785P7/ref=sr_1_143?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-143,"1,139",4.2
TSPARK Red Lemon bg1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and Women,https://www.amazon.in/bg1905-Capacity-Laptop-Travelling-Backpack/dp/B082MKHDJ1/ref=sr_1_144?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-144,"2,849",4.3
Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_145?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-145,"1,895",4.3
Wooum Dark Grey Stylish Sling Cross Body Bag/Messenger Bag/Shoulder Bag/One Side Bag/Office Bag For Men and Women,https://www.amazon.in/Wooum-Stylish-Messenger-Shoulder-Office/dp/B09KKGRP7C/ref=sr_1_146?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-146,349.,4.1
Mi Business Casual 21L Water Resistant Laptop Backpack (Blue),https://www.amazon.in/Business-Casual-Resistant-Laptop-Backpack/dp/B0862V2GKH/ref=sr_1_147?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-147,999,4.4
House of Quirk Baby Diaper Bag Maternity Backpack,https://www.amazon.in/House-Quirk-Maternity-Backpack-Elephant/dp/B07QV7SH4S/ref=sr_1_148?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414575&sr=8-148,"1,199",4.4
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTM5NTE3MzIxMzI2NDM5OjE2Nzk0MTQ1NzU6c3BfYnRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_149_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414575%26sr%3D8-149-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,900",4.9
HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTM5NTE3MzIxMzI2NDM5OjE2Nzk0MTQ1NzU6c3BfYnRmOjIwMDMyNTY1MDQ2ODk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Computer-17-3-inch%2Fdp%2FB083N3DCTM%2Fref%3Dsr_1_150_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414575%26sr%3D8-150-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,439",4.1
"EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTE2MzY1OTEwNjkxOTc3OjE2Nzk0MTQ2NDQ6c3BfYXRmX25leHQ6MjAxMjE5NzIyNjA0OTg6OjA6Og&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB07XG935R9%2Fref%3Dsr_1_145_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414644%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,"3,499",4.1
